cidade,data_previsao,temperatura,umidade,proba_chuva,latitude,longitude
Barreiras,2025-12-28 03:00:00,25.14,64,0.0,-12.1528,-44.99
Barreiras,2025-12-28 06:00:00,24.78,66,0.0,-12.1528,-44.99
Barreiras,2025-12-28 09:00:00,22.74,80,62.0,-12.1528,-44.99
Balsas,2025-12-23 12:00:00,20.45,89,0.0,-7.5325,-46.0356
Balsas,2025-12-23 15:00:00,24.12,73,0.0,-7.5325,-46.0356
Balsas,2025-12-23 18:00:00,26.2,70,0.0,-7.5325,-46.0356
Balsas,2025-12-23 21:00:00,24.19,79,70.0,-7.5325,-46.0356
Balsas,2025-12-24 00:00:00,22.55,86,54.0,-7.5325,-46.0356
Balsas,2025-12-24 03:00:00,21.56,89,0.0,-7.5325,-46.0356
Balsas,2025-12-24 06:00:00,21.74,88,0.0,-7.5325,-46.0356
Balsas,2025-12-24 09:00:00,21.18,90,0.0,-7.5325,-46.0356
Balsas,2025-12-24 12:00:00,24.63,76,0.0,-7.5325,-46.0356
Balsas,2025-12-24 15:00:00,25.38,76,90.0,-7.5325,-46.0356
Balsas,2025-12-24 18:00:00,27.7,66,91.0,-7.5325,-46.0356
Balsas,2025-12-24 21:00:00,24.26,86,100.0,-7.5325,-46.0356
Balsas,2025-12-25 00:00:00,22.94,90,96.0,-7.5325,-46.0356
Balsas,2025-12-25 03:00:00,23.13,89,38.0,-7.5325,-46.0356
Balsas,2025-12-25 06:00:00,22.4,94,100.0,-7.5325,-46.0356
Balsas,2025-12-25 09:00:00,22.06,95,9.0,-7.5325,-46.0356
Balsas,2025-12-25 12:00:00,23.06,92,31.0,-7.5325,-46.0356
Balsas,2025-12-25 15:00:00,26.84,73,100.0,-7.5325,-46.0356
Balsas,2025-12-25 18:00:00,26.61,76,100.0,-7.5325,-46.0356
Balsas,2025-12-25 21:00:00,23.57,92,100.0,-7.5325,-46.0356
Balsas,2025-12-26 00:00:00,22.93,91,100.0,-7.5325,-46.0356
Balsas,2025-12-26 03:00:00,22.79,91,0.0,-7.5325,-46.0356
Balsas,2025-12-26 06:00:00,22.41,92,0.0,-7.5325,-46.0356
Balsas,2025-12-26 09:00:00,21.96,93,0.0,-7.5325,-46.0356
Balsas,2025-12-26 12:00:00,26.34,76,0.0,-7.5325,-46.0356
Balsas,2025-12-26 15:00:00,30.6,56,100.0,-7.5325,-46.0356
Balsas,2025-12-26 18:00:00,30.82,54,100.0,-7.5325,-46.0356
Balsas,2025-12-26 21:00:00,26.44,78,82.0,-7.5325,-46.0356
Balsas,2025-12-27 00:00:00,24.53,83,100.0,-7.5325,-46.0356
Balsas,2025-12-27 03:00:00,23.69,87,0.0,-7.5325,-46.0356
Balsas,2025-12-27 06:00:00,22.77,90,0.0,-7.5325,-46.0356
Balsas,2025-12-27 09:00:00,22.3,92,0.0,-7.5325,-46.0356
Balsas,2025-12-27 12:00:00,28.64,67,0.0,-7.5325,-46.0356
Balsas,2025-12-27 15:00:00,31.55,55,92.0,-7.5325,-46.0356
Balsas,2025-12-27 18:00:00,31.49,52,100.0,-7.5325,-46.0356
Balsas,2025-12-27 21:00:00,26.52,78,55.0,-7.5325,-46.0356
Balsas,2025-12-28 00:00:00,22.74,94,100.0,-7.5325,-46.0356
Balsas,2025-12-28 03:00:00,22.32,95,0.0,-7.5325,-46.0356
Balsas,2025-12-28 06:00:00,21.94,93,0.0,-7.5325,-46.0356
Balsas,2025-12-28 09:00:00,21.71,93,0.0,-7.5325,-46.0356
Gurupi,2025-12-23 12:00:00,21.67,87,0.0,-11.7292,-49.0686
Gurupi,2025-12-23 15:00:00,26.66,64,0.0,-11.7292,-49.0686
Gurupi,2025-12-23 18:00:00,31.35,42,0.0,-11.7292,-49.0686
Gurupi,2025-12-23 21:00:00,26.87,61,0.0,-11.7292,-49.0686
Gurupi,2025-12-24 00:00:00,22.84,78,29.0,-11.7292,-49.0686
Gurupi,2025-12-24 03:00:00,20.74,89,10.0,-11.7292,-49.0686
Gurupi,2025-12-24 06:00:00,21.5,83,0.0,-11.7292,-49.0686
Gurupi,2025-12-24 09:00:00,20.81,87,20.0,-11.7292,-49.0686
Gurupi,2025-12-24 12:00:00,25.77,67,0.0,-11.7292,-49.0686
Gurupi,2025-12-24 15:00:00,28.55,60,95.0,-11.7292,-49.0686
Gurupi,2025-12-24 18:00:00,29.08,53,67.0,-11.7292,-49.0686
Gurupi,2025-12-24 21:00:00,25.15,70,0.0,-11.7292,-49.0686
Gurupi,2025-12-25 00:00:00,21.78,80,39.0,-11.7292,-49.0686
Gurupi,2025-12-25 03:00:00,20.66,91,100.0,-11.7292,-49.0686
Gurupi,2025-12-25 06:00:00,20.4,93,80.0,-11.7292,-49.0686
Gurupi,2025-12-25 09:00:00,20.06,93,0.0,-11.7292,-49.0686
Gurupi,2025-12-25 12:00:00,24.15,75,0.0,-11.7292,-49.0686
Gurupi,2025-12-25 15:00:00,30.87,49,0.0,-11.7292,-49.0686
Gurupi,2025-12-25 18:00:00,30.62,52,0.0,-11.7292,-49.0686
Gurupi,2025-12-25 21:00:00,26.2,72,44.0,-11.7292,-49.0686
Gurupi,2025-12-26 00:00:00,23.52,85,51.0,-11.7292,-49.0686
Gurupi,2025-12-26 03:00:00,23.43,83,0.0,-11.7292,-49.0686
Gurupi,2025-12-26 06:00:00,22.41,92,49.0,-11.7292,-49.0686
Gurupi,2025-12-26 09:00:00,22.05,93,0.0,-11.7292,-49.0686
Gurupi,2025-12-26 12:00:00,23.79,87,0.0,-11.7292,-49.0686
Gurupi,2025-12-26 15:00:00,29.01,63,0.0,-11.7292,-49.0686
Gurupi,2025-12-26 18:00:00,31.43,50,50.0,-11.7292,-49.0686
Gurupi,2025-12-26 21:00:00,28.08,68,78.0,-11.7292,-49.0686
Gurupi,2025-12-27 00:00:00,23.58,87,100.0,-11.7292,-49.0686
Gurupi,2025-12-27 03:00:00,22.72,90,0.0,-11.7292,-49.0686
Gurupi,2025-12-27 06:00:00,22.24,91,0.0,-11.7292,-49.0686
Gurupi,2025-12-27 09:00:00,21.83,91,0.0,-11.7292,-49.0686
Gurupi,2025-12-27 12:00:00,28.47,66,0.0,-11.7292,-49.0686
Gurupi,2025-12-27 15:00:00,33.97,46,0.0,-11.7292,-49.0686
Gurupi,2025-12-27 18:00:00,34.02,42,0.0,-11.7292,-49.0686
Gurupi,2025-12-27 21:00:00,28.13,64,0.0,-11.7292,-49.0686
Gurupi,2025-12-28 00:00:00,23.51,87,97.0,-11.7292,-49.0686
Gurupi,2025-12-28 03:00:00,23.32,86,0.0,-11.7292,-49.0686
Gurupi,2025-12-28 06:00:00,22.4,91,0.0,-11.7292,-49.0686
Gurupi,2025-12-28 09:00:00,22.13,90,1.0,-11.7292,-49.0686
Uruçuí,2025-12-24 12:00:00,22.01,89,80.0,-7.2294,-44.5561
Uruçuí,2025-12-24 15:00:00,25.47,75,100.0,-7.2294,-44.5561
Uruçuí,2025-12-24 18:00:00,28.8,61,99.0,-7.2294,-44.5561
Uruçuí,2025-12-24 21:00:00,26.29,74,45.0,-7.2294,-44.5561
Uruçuí,2025-12-25 00:00:00,25.07,79,21.0,-7.2294,-44.5561
Uruçuí,2025-12-25 03:00:00,24.18,83,0.0,-7.2294,-44.5561
Uruçuí,2025-12-25 06:00:00,23.39,87,0.0,-7.2294,-44.5561
Uruçuí,2025-12-25 09:00:00,22.95,89,100.0,-7.2294,-44.5561
Uruçuí,2025-12-25 12:00:00,26.66,75,100.0,-7.2294,-44.5561
Uruçuí,2025-12-25 15:00:00,28.02,64,98.0,-7.2294,-44.5561
Uruçuí,2025-12-25 18:00:00,25.81,78,93.0,-7.2294,-44.5561
Uruçuí,2025-12-25 21:00:00,25.69,74,0.0,-7.2294,-44.5561
Uruçuí,2025-12-26 00:00:00,24.75,79,0.0,-7.2294,-44.5561
Uruçuí,2025-12-26 03:00:00,23.84,84,0.0,-7.2294,-44.5561
Uruçuí,2025-12-26 06:00:00,22.52,91,0.0,-7.2294,-44.5561
Uruçuí,2025-12-26 09:00:00,22.17,93,0.0,-7.2294,-44.5561
Uruçuí,2025-12-26 12:00:00,27.0,71,0.0,-7.2294,-44.5561
Uruçuí,2025-12-26 15:00:00,30.68,55,34.0,-7.2294,-44.5561
Uruçuí,2025-12-26 18:00:00,28.06,71,58.0,-7.2294,-44.5561
Uruçuí,2025-12-26 21:00:00,25.92,83,100.0,-7.2294,-44.5561
Uruçuí,2025-12-27 00:00:00,24.26,85,78.0,-7.2294,-44.5561
Uruçuí,2025-12-27 03:00:00,23.63,86,0.0,-7.2294,-44.5561
Uruçuí,2025-12-27 06:00:00,22.67,89,0.0,-7.2294,-44.5561
Uruçuí,2025-12-27 09:00:00,23.22,86,0.0,-7.2294,-44.5561
Uruçuí,2025-12-27 12:00:00,28.39,67,30.0,-7.2294,-44.5561
Uruçuí,2025-12-27 15:00:00,29.56,64,100.0,-7.2294,-44.5561
Uruçuí,2025-12-27 18:00:00,29.83,63,100.0,-7.2294,-44.5561
Uruçuí,2025-12-27 21:00:00,26.99,75,33.0,-7.2294,-44.5561
Uruçuí,2025-12-28 00:00:00,24.55,83,13.0,-7.2294,-44.5561
Uruçuí,2025-12-28 03:00:00,23.22,88,0.0,-7.2294,-44.5561
Uruçuí,2025-12-28 06:00:00,22.87,88,0.0,-7.2294,-44.5561
Uruçuí,2025-12-28 09:00:00,22.38,90,0.0,-7.2294,-44.5561
Uruçuí,2025-12-28 12:00:00,27.64,70,0.0,-7.2294,-44.5561
Uruçuí,2025-12-28 15:00:00,29.18,67,100.0,-7.2294,-44.5561
Uruçuí,2025-12-28 18:00:00,30.21,64,100.0,-7.2294,-44.5561
Uruçuí,2025-12-28 21:00:00,26.26,82,100.0,-7.2294,-44.5561
Uruçuí,2025-12-29 00:00:00,24.58,88,80.0,-7.2294,-44.5561
Uruçuí,2025-12-29 03:00:00,23.69,89,0.0,-7.2294,-44.5561
Uruçuí,2025-12-29 06:00:00,22.93,92,0.0,-7.2294,-44.5561
Uruçuí,2025-12-29 09:00:00,22.28,94,0.0,-7.2294,-44.5561
Barreiras,2025-12-24 12:00:00,20.84,82,0.0,-12.1528,-44.99
Barreiras,2025-12-24 15:00:00,26.26,60,0.0,-12.1528,-44.99
Barreiras,2025-12-24 18:00:00,29.89,45,0.0,-12.1528,-44.99
Barreiras,2025-12-24 21:00:00,23.87,69,0.0,-12.1528,-44.99
Barreiras,2025-12-25 00:00:00,22.26,71,0.0,-12.1528,-44.99
Barreiras,2025-12-25 03:00:00,22.26,78,33.0,-12.1528,-44.99
Barreiras,2025-12-25 06:00:00,20.35,86,11.0,-12.1528,-44.99
Barreiras,2025-12-25 09:00:00,20.04,87,0.0,-12.1528,-44.99
